1ab169454 | Simplify string option handling in app config | SKIP: pure refactor incompatible with fork's stealth-divergent ConfigManager (local-var approach + fork-specific options); no functionality lost
3f66d431a | Fix merge_message_contents for polls | SKIP: prereq PollManager::get_individual_message_content_refs absent in fork (partial PollMedia epic); poll-media merge case deferred, no functionality regressed (fork had no poll-merge case)
b07e4b77e | Add separate inputMessageLiveLocation | SKIP: td_api.tl conflict tangles fork W3-P PollVoteRestrictionReason + upstream PollMedia (duplicate inputPollOption, differing pollVoteRestrictionReason signatures); too risky to merge schema of fork-hardened poll area; live-location deferred
0d1e95e89 | Add Poll.can_see_results | SKIP: deep W3-P poll-schema tangle (fork vote_restriction_reason/members_only/country_codes + upstream can_see_results); high risk to fork-hardened poll area
d549c79d7 | Add td_api::PollMedia | SKIP: PollMedia epic core; deeply clashes with fork W3-P poll schema/code (4-file conflict); epic deferred as block to protect W3-P hardening
984e1f2b4 | Add td_api::pollMediaLink | SKIP: PollMedia epic (W3-P clash)
3b0d5e432bb619c57b089e19415d12c0f1fac97c | Add td_api::InputPollMedia. | SKIP: PollMedia epic (W3-P clash)
a2b0e37ad9f8a7dd10cd1e34d638478bab1f56a8 | Add td_api::inputPollMediaLink. | SKIP: PollMedia epic (W3-P clash)
d02fe8bbe2f3ef4f48eb343a06448b6ceed48ccd | Add PollManager::get_poll_web_page_ids. | SKIP: PollMedia epic (W3-P)
7b7f7cf21e12ad0fe5954e420d11d4cf0afefa99 | Register poll web pages. | SKIP: PollMedia epic (W3-P)
0ae2fd646c54718fdc9e6021925c6bc2be0987b8 | tg_cli: support inputPollMediaLink. | SKIP: PollMedia epic (W3-P)
d4a15d682 | Use reload_web_page_by_url to reload pending web pages | SKIP: references web_page_polls_ (deferred PollMedia/poll-web-page epic)
bdf910f19 | Add type_filter in searchPublicChats | SKIP: search-type-filter epic changes search data structures (found_public_dialogs_ -> 2D type_num map); low-value client feature, moderate integration risk
d549c79d7aaf1a1ea5651827ac10486ffa2922fb | Add td_api::PollMedia. | PRE-SKIP: PollMedia/poll-web-page epic (deferred)
984e1f2b4f78ce4e621c9828c1a3cde9dd56c131 | Add td_api::pollMediaLink. | PRE-SKIP: PollMedia/poll-web-page epic (deferred)
ef5759d203a915bf26240c863fe599d04952e09a | Compare type of poll option media. | PRE-SKIP: PollMedia/poll-web-page epic (deferred)
3b0d5e432bb619c57b089e19415d12c0f1fac97c | Add td_api::InputPollMedia. | PRE-SKIP: PollMedia/poll-web-page epic (deferred)
a2b0e37ad9f8a7dd10cd1e34d638478bab1f56a8 | Add td_api::inputPollMediaLink. | PRE-SKIP: PollMedia/poll-web-page epic (deferred)
d02fe8bbe2f3ef4f48eb343a06448b6ceed48ccd | Add PollManager::get_poll_web_page_ids. | PRE-SKIP: deferred epic (poll-media/search-filter)
7b7f7cf21e12ad0fe5954e420d11d4cf0afefa99 | Register poll web pages. | PRE-SKIP: deferred epic (poll-media/search-filter)
002d49193c0ebb2ed7ccb9f0fbb64a8348b10eb1 | Remove empty web pages from polls. | PRE-SKIP: deferred epic (poll-media/search-filter)
0ae2fd646c54718fdc9e6021925c6bc2be0987b8 | tg_cli: support inputPollMediaLink. | PRE-SKIP: deferred epic (poll-media/search-filter)
d4a15d682875afe0abbe89a0c156a7757693833f | Use reload_web_page_by_url to reload pending web pages. | PRE-SKIP: deferred epic (poll-media/search-filter)
31c1a0222519c72987c5ace597f1e4be595d7c22 | Register web pages of loaded from database polls. | PRE-SKIP: deferred epic (poll-media/search-filter)
0c39589cdc2ddc849ae993816996faceeeb1b0ec | Register web page URLs loaded from database. | PRE-SKIP: deferred epic (poll-media/search-filter)
316e934433f9697e687a2f292a3353d52f6a91a9 | Add enum DialogTypeFilter. | PRE-SKIP: deferred epic (poll-media/search-filter)
bdf910f191e1b730e8923c99e09050cc107a6ac2 | Add type_filter in searchPublicChats. | PRE-SKIP: deferred epic (poll-media/search-filter)
e587790173003bbf83d0f9919b4165c4dd1443fc | Add searchChatsOnServer.type_filter. | PRE-SKIP: deferred epic (poll-media/search-filter)
9ec11ab28d416294d108fa0419d43176613a1ea8 | Add searchRecentlyFoundChats.type_filter. | PRE-SKIP: deferred epic (poll-media/search-filter)
21cbc0d17 | Move search_dialogs to DialogManager | SKIP: 3-file refactor move in deferred search area
26d8c6a811a1e688e002ff55def8110875014000 | Add searchChats,type_filter. | PRE-SKIP: deferred epic
f46b58926 | Add td_api::checkAuthenticationWebToken | SKIP: auth web-token/passkey epic; fork refactored auth error handling (handle_expected_query_error); security-sensitive structural divergence
63196bac4 | Add td_api::updateWebBrowserSettings | SKIP: WebBrowserManager absent (webbrowser epic manager not landed); git rename-detection also mis-matched content to stealth files (ConfigWindowTable/SessionBlendTable). Webbrowser epic deferred.
03e80a1201dc88aeb28ed70722839ce7516f356e | Support updateWebBrowserSettings in getCurrentState. | PRE-SKIP: deferred epic
0ecf6802c3e07b7cd6cd7549751758415dbf27bd | Save web browser settings between restarts. | PRE-SKIP: deferred epic
8c0c85326de5086fd04fc4f434895cb570f12928 | Support updateWebBrowserSettings. | PRE-SKIP: deferred epic
a1b5ec5248a4a88a0ca4f71281ad85571d19b61e | Support updateWebBrowserException. | PRE-SKIP: deferred epic
9deb0b7d52fd20ba4b3a556c1800b6468aa5d45a | Add td_api::changeWebBrowserSettings. | PRE-SKIP: deferred epic
2bce3ecbec55e6c51d8b7e77fd1938421ef880e7 | Add td_api::addWebBrowserSettingsException. | PRE-SKIP: deferred epic
e3ef7dc746d99759787862f63cc8c7c438caca4a | Add td_api::removeWebBrowserSettingsException. | PRE-SKIP: deferred epic
533ca510b68d12f5e1586fdf2ce0872b664d6980 | Add td_api::removeAllWebBrowserSettingsExceptions. | PRE-SKIP: deferred epic
37fa274f22ee86ef5e43aac08e32d5e152048c8c | Add td_api::getLinkWebBrowserType. | PRE-SKIP: deferred epic
a3349d3c8194f4b12d3cc4837266c05684d035d8 | Open tonsite:// links only in the internal browser. | PRE-SKIP
24ede94a8 | Improve documentation | SKIP: doc-only td_api.tl conflict with fork DOXYGEN docs; no functionality
